id,course_information,postgraduate_or_undergraduate,field_of_education,age,gender,citizenship,term_residence,permanent_residence,basis_for_admission,type_of_attendance,mode_of_attendance,country_of_birth,language_spoken_at_home,year_of_arrival_in_usa,entrance_score,equity_data,highest_level_of_education_prior_to_commencement,course_completion_year,course_gpa_earned
998,Global PPM,Postgraduate,Computer Science,19/02/1996,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2006,304,,Baccalaureate,2011,3.79
1,Global MISM,Undergraduate,Computer Science,24/12/1990,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2012,321,,Baccalaureate,2014,3.97
2,MSIT,Postgraduate,Computer Science,27/06/1997,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2005,326,Women in non-traditional areas,Baccalaureate,2012,3.33
3,MISM,Undergraduate,Computer Science,12/10/1981,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2006,320,Women in non-traditional areas,Baccalaureate,2011,3.59
4,PPM,Postgraduate,Computer Science,8/3/1989,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2005,336,,Baccalaureate,2014,3.68
5,Global MISM,Undergraduate,Computer Science,12/8/1991,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2010,337,Regional/ Remote,Professional Certification,2011,3.39
6,MISM,Postgraduate,Computer Science,19/08/1988,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2010,303,Women in non-traditional areas,Diploma,2012,3.32
7,Global PPM,Postgraduate,Computer Science,30/04/1982,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2009,309,,Post-graduate,2011,3.36
8,Global PPM,Postgraduate,Computer Science,18/12/1994,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2006,339,,Diploma,2011,3.78
9,MISM,Postgraduate,Computer Science,2/5/1990,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2009,308,,Post-graduate,2010,3.91
10,MISM,Postgraduate,Computer Science,29/04/1994,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2007,311,,Baccalaureate,2011,3.98
11,MISM,Undergraduate,Computer Science,22/04/1986,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2004,304,,Professional Certification,2011,3.86
12,PPM,Postgraduate,Computer Science,13/03/1988,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2007,309,,Baccalaureate,2011,3.97
13,MISM,Undergraduate,Computer Science,27/05/1997,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2006,309,Disability,Diploma,2011,3.76
14,MISM,Postgraduate,Computer Science,23/04/1983,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2011,321,,Diploma,2010,3.68
15,PPM,Undergraduate,Computer Science,26/05/1986,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2007,313,Regional/ Remote,Post-graduate,2012,3.31
16,Global PPM,Undergraduate,Computer Science,24/02/1994,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2004,303,,Professional Certification,2013,3.29
17,MSIT,Undergraduate,Computer Science,23/06/1984,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2012,323,,Baccalaureate,2011,3.63
18,PPM,Postgraduate,Computer Science,7/9/1994,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2007,315,,Post-graduate,2010,3.94
19,Global PPM,Postgraduate,Computer Science,15/08/1987,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2005,334,,Baccalaureate,2011,3.51
20,MISM,Postgraduate,Computer Science,17/06/1997,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2012,327,,Post-graduate,2011,3.42
21,MSIT,Undergraduate,Computer Science,16/02/1997,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2007,330,Disability,Baccalaureate,2014,3.67
22,MISM,Postgraduate,Computer Science,8/2/1980,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2009,309,Regional/ Remote,Diploma,2014,3.95
23,PPM,Undergraduate,Computer Science,27/06/1993,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2006,317,Regional/ Remote,Diploma,2013,3.94
24,PPM,Postgraduate,Computer Science,25/03/1981,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2012,322,,Diploma,2011,3.48
25,Global MISM,Undergraduate,Computer Science,28/09/1994,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2008,307,,Post-graduate,2011,3.89
26,PPM,Undergraduate,Computer Science,11/10/1986,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2009,332,,Diploma,2010,3.77
27,Global MISM,Postgraduate,Computer Science,29/04/1981,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2005,335,,Diploma,2014,3.9
28,MISM,Postgraduate,Computer Science,6/7/1986,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2012,301,,Post-graduate,2011,3.59
29,Global MISM,Postgraduate,Computer Science,19/03/1996,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2009,333,,Professional Certification,2013,3.62
30,MSIT,Undergraduate,Computer Science,14/03/1986,Male,China,China,China,GRE,Full-time,External,China,Mandarin,2009,314,Disability,Post-graduate,2011,3.24
31,Global MISM,Undergraduate,Computer Science,20/06/1989,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2012,338,,Post-graduate,2014,3.64
32,Global PPM,Undergraduate,Computer Science,9/5/1984,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2009,336,Regional/ Remote,Post-graduate,2011,3.9
33,PPM,Postgraduate,Computer Science,16/04/1986,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2005,326,,Diploma,2012,3.72
34,PPM,Postgraduate,Computer Science,2/5/1996,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2004,326,,Diploma,2013,3.77
35,Global MISM,Postgraduate,Computer Science,4/7/1992,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2008,325,,Baccalaureate,2013,3.22
36,Global MISM,Undergraduate,Computer Science,23/02/1980,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2006,336,,Post-graduate,2013,3.23
37,MISM,Undergraduate,Computer Science,14/11/1993,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2010,321,,Diploma,2013,3.23
38,MISM,Postgraduate,Computer Science,16/07/1985,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2009,316,,Baccalaureate,2012,3.35
39,MISM,Undergraduate,Computer Science,14/07/1985,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2011,308,,Baccalaureate,2011,3.43
40,MSIT,Undergraduate,Computer Science,16/03/1984,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2011,325,Disability,Diploma,2011,3.35
41,MISM,Postgraduate,Computer Science,24/05/1987,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2012,324,Women in non-traditional areas,Professional Certification,2011,3.97
42,MSIT,Undergraduate,Computer Science,6/2/1989,Male,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2005,334,,Baccalaureate,2014,3.55
43,MISM,Undergraduate,Computer Science,2/1/1994,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2004,337,Women in non-traditional areas,Diploma,2010,3.89
44,Global PPM,Postgraduate,Computer Science,26/07/1982,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2004,335,,Professional Certification,2014,3.65
45,PPM,Postgraduate,Computer Science,5/1/1996,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2012,320,,Diploma,2013,3.56
46,MSIT,Postgraduate,Computer Science,20/08/1993,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2007,318,,Baccalaureate,2012,3.97
47,Global MISM,Undergraduate,Computer Science,20/08/1984,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2006,322,,Baccalaureate,2011,3.92
48,Global MISM,Postgraduate,Computer Science,27/02/1997,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2009,308,low-income,Diploma,2010,3.23
49,MSIT,Undergraduate,Computer Science,1/1/1992,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2009,316,,Diploma,2014,3.57
50,Global PPM,Undergraduate,Computer Science,12/2/1992,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2004,340,,Post-graduate,2010,3.39
51,MSIT,Postgraduate,Computer Science,19/01/1984,Female,China,China,China,GRE,Full-time,External,China,Mandarin,2007,338,Disability,Baccalaureate,2010,3.7
52,MSIT,Undergraduate,Computer Science,24/03/1982,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2008,316,,Diploma,2013,3.42
53,Global PPM,Undergraduate,Computer Science,1/9/1994,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2009,323,,Post-graduate,2014,3.84
54,PPM,Postgraduate,Computer Science,10/12/1985,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2006,318,,Post-graduate,2010,3.6
55,Global PPM,Postgraduate,Computer Science,24/06/1996,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2006,330,,Baccalaureate,2012,3.99
56,MISM,Undergraduate,Computer Science,13/10/1982,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2010,322,Disability,Professional Certification,2012,3.45
57,Global PPM,Postgraduate,Computer Science,8/10/1981,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2004,305,,Post-graduate,2012,3.34
58,Global PPM,Postgraduate,Computer Science,16/09/1983,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2006,339,Women in non-traditional areas,Baccalaureate,2012,3.78
59,MISM,Undergraduate,Computer Science,18/06/1994,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2011,302,Regional/ Remote,Diploma,2012,3.22
60,PPM,Undergraduate,Computer Science,7/4/1996,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2009,328,,Baccalaureate,2012,3.43
61,Global PPM,Postgraduate,Computer Science,15/03/1986,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2010,327,Disability,Baccalaureate,2010,3.26
62,PPM,Undergraduate,Computer Science,20/08/1987,Female,China,China,China,GRE,Part-time,Internal,China,Mandarin,2006,323,,Diploma,2011,3.62
63,Global MISM,Postgraduate,Computer Science,12/12/1986,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2010,320,,Post-graduate,2012,3.93
64,Global PPM,Undergraduate,Computer Science,31/12/1985,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2012,337,,Professional Certification,2013,3.81
65,PPM,Undergraduate,Computer Science,28/11/1990,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2007,317,,Diploma,2012,3.68
66,MISM,Undergraduate,Computer Science,8/8/1994,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2006,321,,Post-graduate,2011,3.57
67,MSIT,Postgraduate,Computer Science,17/02/1983,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2010,327,,Diploma,2012,3.23
68,Global MISM,Undergraduate,Computer Science,1/8/1994,Female,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2007,315,low-income,Professional Certification,2011,3.84
69,PPM,Postgraduate,Computer Science,13/07/1983,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2006,306,,Post-graduate,2012,3.35
70,Global MISM,Postgraduate,Computer Science,15/08/1980,Female,China,China,China,GRE,Part-time,External,China,Mandarin,2008,303,,Baccalaureate,2013,3.73
71,PPM,Undergraduate,Computer Science,21/02/1987,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2005,300,Women in non-traditional areas,Post-graduate,2010,3.54
72,Global PPM,Postgraduate,Computer Science,17/07/1997,Female,China,China,China,GRE,Part-time,Multi-modal,China,Mandarin,2009,327,Women in non-traditional areas,Post-graduate,2013,3.78
73,Global MISM,Postgraduate,Computer Science,14/05/1988,Male,China,China,China,GRE,Part-time,External,China,Mandarin,2006,334,,Baccalaureate,2010,3.86
74,MISM,Postgraduate,Computer Science,12/2/1993,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2006,309,Disability,Post-graduate,2012,3.76
75,PPM,Postgraduate,Computer Science,16/01/1985,Male,China,China,China,GRE,Part-time,Internal,China,Mandarin,2010,322,Women in non-traditional areas,Post-graduate,2013,3.42
76,Global PPM,Postgraduate,Computer Science,31/07/1993,Female,China,China,China,GRE,Full-time,Internal,China,Mandarin,2009,315,,Professional Certification,2013,3.81
77,PPM,Undergraduate,Computer Science,12/3/1990,Male,China,China,China,GRE,Full-time,Internal,China,Mandarin,2012,329,Women in non-traditional areas,Professional Certification,2010,3.85
78,Global MISM,Undergraduate,Computer Science,23/02/1996,Male,China,China,China,GRE,Full-time,Multi-modal,China,Mandarin,2006,306,low-income,Diploma,2014,3.26
